TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/29
TIME	13:53:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.00922
MAXY	0.80823
MINY	-0.00966
XYDATA
840.0000	-0.00922
839.0000	-0.00925
838.0000	-0.00932
837.0000	-0.00933
836.0000	-0.0095
835.0000	-0.00949
834.0000	-0.00954
833.0000	-0.00958
832.0000	-0.0096
831.0000	-0.00957
830.0000	-0.00939
829.0000	-0.0093
828.0000	-0.0093
827.0000	-0.00942
826.0000	-0.00939
825.0000	-0.00954
824.0000	-0.00955
823.0000	-0.0096
822.0000	-0.00954
821.0000	-0.00948
820.0000	-0.00945
819.0000	-0.00949
818.0000	-0.0096
817.0000	-0.00966
816.0000	-0.00955
815.0000	-0.00957
814.0000	-0.00961
813.0000	-0.00964
812.0000	-0.00961
811.0000	-0.00959
810.0000	-0.00951
809.0000	-0.00957
808.0000	-0.00959
807.0000	-0.00954
806.0000	-0.00943
805.0000	-0.00933
804.0000	-0.00924
803.0000	-0.00925
802.0000	-0.0093
801.0000	-0.00937
800.0000	-0.00927
799.0000	-0.00932
798.0000	-0.00926
797.0000	-0.00931
796.0000	-0.00921
795.0000	-0.00921
794.0000	-0.00924
793.0000	-0.00929
792.0000	-0.00925
791.0000	-0.00928
790.0000	-0.00924
789.0000	-0.00924
788.0000	-0.00911
787.0000	-0.00914
786.0000	-0.00907
785.0000	-0.00908
784.0000	-0.00902
783.0000	-0.0089
782.0000	-0.00892
781.0000	-0.00885
780.0000	-0.00883
779.0000	-0.00877
778.0000	-0.00881
777.0000	-0.00878
776.0000	-0.00877
775.0000	-0.0088
774.0000	-0.00879
773.0000	-0.00879
772.0000	-0.0086
771.0000	-0.0086
770.0000	-0.00846
769.0000	-0.00854
768.0000	-0.00851
767.0000	-0.00849
766.0000	-0.00845
765.0000	-0.00835
764.0000	-0.00823
763.0000	-0.00824
762.0000	-0.00823
761.0000	-0.00818
760.0000	-0.00816
759.0000	-0.00808
758.0000	-0.00799
757.0000	-0.0078
756.0000	-0.00769
755.0000	-0.00757
754.0000	-0.00748
753.0000	-0.00736
752.0000	-0.00723
751.0000	-0.00725
750.0000	-0.00715
749.0000	-0.00708
748.0000	-0.00702
747.0000	-0.00698
746.0000	-0.00691
745.0000	-0.00675
744.0000	-0.00655
743.0000	-0.00645
742.0000	-0.00627
741.0000	-0.00615
740.0000	-0.00594
739.0000	-0.0057
738.0000	-0.00546
737.0000	-0.0052
736.0000	-0.00503
735.0000	-0.00483
734.0000	-0.0046
733.0000	-0.00433
732.0000	-0.00401
731.0000	-0.00378
730.0000	-0.00356
729.0000	-0.00324
728.0000	-0.00288
727.0000	-0.00248
726.0000	-0.00203
725.0000	-0.00159
724.0000	-0.00111
723.0000	-6E-04
722.0000	6E-05
721.0000	8.6E-04
720.0000	0.00165
719.0000	0.0025
718.0000	0.00345
717.0000	0.00455
716.0000	0.0057
715.0000	0.00697
714.0000	0.00843
713.0000	0.01009
712.0000	0.01192
711.0000	0.01392
710.0000	0.01607
709.0000	0.01853
708.0000	0.02131
707.0000	0.02446
706.0000	0.02794
705.0000	0.03185
704.0000	0.03621
703.0000	0.04114
702.0000	0.04663
701.0000	0.05271
700.0000	0.0595
699.0000	0.06708
698.0000	0.07553
697.0000	0.08494
696.0000	0.09525
695.0000	0.10669
694.0000	0.1193
693.0000	0.13321
692.0000	0.14852
691.0000	0.16534
690.0000	0.18384
689.0000	0.20398
688.0000	0.22584
687.0000	0.2496
686.0000	0.27518
685.0000	0.30258
684.0000	0.33161
683.0000	0.3622
682.0000	0.39414
681.0000	0.42716
680.0000	0.46131
679.0000	0.49595
678.0000	0.53054
677.0000	0.56443
676.0000	0.59736
675.0000	0.62897
674.0000	0.65879
673.0000	0.68643
672.0000	0.71158
671.0000	0.73401
670.0000	0.7535
669.0000	0.76985
668.0000	0.78314
667.0000	0.7935
666.0000	0.80101
