TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/03
TIME	10:43:52
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.00042
MAXY	0.24648
MINY	-0.01693
XYDATA
668.0000	0.22613
667.0000	0.23084
666.0000	0.23486
665.0000	0.2382
664.0000	0.2409
663.0000	0.24303
662.0000	0.2446
661.0000	0.24566
660.0000	0.24626
659.0000	0.24648
658.0000	0.24632
657.0000	0.24582
656.0000	0.24488
655.0000	0.24361
654.0000	0.24203
653.0000	0.24018
652.0000	0.23799
651.0000	0.23547
650.0000	0.23266
649.0000	0.22962
648.0000	0.22634
647.0000	0.22288
646.0000	0.21928
645.0000	0.21556
644.0000	0.21175
643.0000	0.20799
642.0000	0.20421
641.0000	0.20045
640.0000	0.19672
639.0000	0.19311
638.0000	0.18963
637.0000	0.18624
636.0000	0.18289
635.0000	0.1797
634.0000	0.17665
633.0000	0.17369
632.0000	0.17087
631.0000	0.16811
630.0000	0.1656
629.0000	0.1631
628.0000	0.16082
627.0000	0.15869
626.0000	0.15675
625.0000	0.15495
624.0000	0.15321
623.0000	0.15165
622.0000	0.1502
621.0000	0.14887
620.0000	0.1476
619.0000	0.14638
618.0000	0.14515
617.0000	0.14386
616.0000	0.14256
615.0000	0.14124
614.0000	0.13989
613.0000	0.13851
612.0000	0.13707
611.0000	0.13548
610.0000	0.13379
609.0000	0.13202
608.0000	0.13017
607.0000	0.12818
606.0000	0.126
605.0000	0.12368
604.0000	0.12129
603.0000	0.11883
602.0000	0.11627
601.0000	0.11362
600.0000	0.11085
599.0000	0.10813
598.0000	0.10537
597.0000	0.10259
596.0000	0.09977
595.0000	0.09704
594.0000	0.09424
593.0000	0.09148
592.0000	0.08872
591.0000	0.08604
590.0000	0.08331
589.0000	0.08063
588.0000	0.07797
587.0000	0.07532
586.0000	0.0728
585.0000	0.07036
584.0000	0.06801
583.0000	0.06572
582.0000	0.06356
581.0000	0.06148
580.0000	0.05942
579.0000	0.05741
578.0000	0.05548
577.0000	0.05358
576.0000	0.05176
575.0000	0.04999
574.0000	0.04833
573.0000	0.04669
572.0000	0.04516
571.0000	0.04371
570.0000	0.04227
569.0000	0.04085
568.0000	0.03951
567.0000	0.03825
566.0000	0.03701
565.0000	0.03577
564.0000	0.03457
563.0000	0.03338
562.0000	0.03228
561.0000	0.03117
560.0000	0.03015
559.0000	0.02915
558.0000	0.02808
557.0000	0.02706
556.0000	0.02608
