TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	19:21:26
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.05186
MAXY	0.20976
MINY	-0.05186
XYDATA
666.0000	0.19419
665.0000	0.1975
664.0000	0.20034
663.0000	0.20275
662.0000	0.20483
661.0000	0.20655
660.0000	0.20788
659.0000	0.20883
658.0000	0.2094
657.0000	0.20975
656.0000	0.20976
655.0000	0.20949
654.0000	0.20893
653.0000	0.20804
652.0000	0.20687
651.0000	0.20542
650.0000	0.20368
649.0000	0.20169
648.0000	0.19953
647.0000	0.19714
646.0000	0.19459
645.0000	0.19195
644.0000	0.18925
643.0000	0.18656
642.0000	0.18378
641.0000	0.18099
640.0000	0.17828
639.0000	0.17555
638.0000	0.17292
637.0000	0.17029
636.0000	0.16777
635.0000	0.16532
634.0000	0.16287
633.0000	0.16048
632.0000	0.15816
631.0000	0.15597
630.0000	0.15385
629.0000	0.15186
628.0000	0.15001
627.0000	0.14823
626.0000	0.14658
625.0000	0.14495
624.0000	0.14348
623.0000	0.14214
622.0000	0.14083
621.0000	0.13956
620.0000	0.13839
619.0000	0.13728
618.0000	0.13618
617.0000	0.13503
616.0000	0.13382
615.0000	0.1326
614.0000	0.13137
613.0000	0.13013
612.0000	0.12883
611.0000	0.12751
610.0000	0.12609
609.0000	0.12454
608.0000	0.123
607.0000	0.12129
606.0000	0.11953
605.0000	0.11769
604.0000	0.11579
603.0000	0.1138
602.0000	0.11175
601.0000	0.10965
600.0000	0.10748
599.0000	0.10529
598.0000	0.10305
597.0000	0.10076
596.0000	0.09842
595.0000	0.09606
594.0000	0.09381
593.0000	0.09156
592.0000	0.08932
591.0000	0.08709
590.0000	0.08483
589.0000	0.0826
588.0000	0.08047
587.0000	0.07838
586.0000	0.07633
585.0000	0.07426
584.0000	0.07225
583.0000	0.07035
582.0000	0.06848
581.0000	0.06666
580.0000	0.06487
579.0000	0.06317
578.0000	0.06146
577.0000	0.05988
576.0000	0.05827
575.0000	0.0568
574.0000	0.05533
573.0000	0.05394
572.0000	0.05258
571.0000	0.05132
570.0000	0.05004
569.0000	0.04887
568.0000	0.04769
567.0000	0.04658
566.0000	0.04546
565.0000	0.04438
564.0000	0.04329
563.0000	0.04227
562.0000	0.04126
561.0000	0.04033
560.0000	0.03941
559.0000	0.03844
558.0000	0.03754
557.0000	0.03661
556.0000	0.03581
555.0000	0.03495
554.0000	0.03418
