 ,Area,Mean,Min,Max
1,578212,27.514,0,255
2,1174773,26.244,0,255
3,1459073,25.700,0,255
4,7182336,20.132,0,255
5,326769,26.987,0,255
6,326769,26.958,0,230
7,2962020,23.193,0,255
