 ,Area,Mean,Min,Max,Angle,Length
1,0.050,102.759,48.343,249.490,-31.485,7.002
2,0.070,100.633,55.038,255.000,-76.246,9.854
3,0.000,0.000,0.000,0.000,44.921,0.000
4,0.000,0.000,0.000,0.000,26.598,0.000
5,0.000,0.000,0.000,0.000,27.118,0.000
6,0.000,0.000,0.000,0.000,53.169,0.000
7,0.000,0.000,0.000,0.000,117.219,0.000
