TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/31
TIME	13:52:52
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00907
MAXY	0.80924
MINY	0.00879
XYDATA
840.0000	0.00907
839.0000	0.00894
838.0000	0.00887
837.0000	0.00879
836.0000	0.00879
835.0000	0.00887
834.0000	0.00883
833.0000	0.00902
832.0000	0.00902
831.0000	0.00914
830.0000	0.0092
829.0000	0.00921
828.0000	0.00909
827.0000	0.00901
826.0000	0.00915
825.0000	0.00919
824.0000	0.00922
823.0000	0.00917
822.0000	0.00904
821.0000	0.00909
820.0000	0.00907
819.0000	0.00909
818.0000	0.00918
817.0000	0.00927
816.0000	0.0092
815.0000	0.00922
814.0000	0.00917
813.0000	0.00912
812.0000	0.00926
811.0000	0.00921
810.0000	0.00917
809.0000	0.00915
808.0000	0.00925
807.0000	0.00928
806.0000	0.00938
805.0000	0.00936
804.0000	0.00942
803.0000	0.00946
802.0000	0.00943
801.0000	0.00947
800.0000	0.00951
799.0000	0.00946
798.0000	0.00946
797.0000	0.00942
796.0000	0.0094
795.0000	0.00935
794.0000	0.00939
793.0000	0.00943
792.0000	0.00943
791.0000	0.00945
790.0000	0.00938
789.0000	0.00945
788.0000	0.00955
787.0000	0.0096
786.0000	0.00955
785.0000	0.00969
784.0000	0.00975
783.0000	0.00979
782.0000	0.00987
781.0000	0.00993
780.0000	0.01004
779.0000	0.01006
778.0000	0.01007
777.0000	0.01006
776.0000	0.00995
775.0000	0.00997
774.0000	0.01003
773.0000	0.01011
772.0000	0.01022
771.0000	0.01022
770.0000	0.01017
769.0000	0.0101
768.0000	0.01007
767.0000	0.01023
766.0000	0.01029
765.0000	0.01047
764.0000	0.01042
763.0000	0.01047
762.0000	0.01055
761.0000	0.01057
760.0000	0.0107
759.0000	0.01072
758.0000	0.01083
757.0000	0.01089
756.0000	0.01094
755.0000	0.01101
754.0000	0.01111
753.0000	0.01126
752.0000	0.01126
751.0000	0.01138
750.0000	0.01147
749.0000	0.01157
748.0000	0.01164
747.0000	0.01175
746.0000	0.01183
745.0000	0.01188
744.0000	0.012
743.0000	0.01217
742.0000	0.01233
741.0000	0.01247
740.0000	0.01265
739.0000	0.0128
738.0000	0.01297
737.0000	0.01317
736.0000	0.01335
735.0000	0.01353
734.0000	0.01365
733.0000	0.01396
732.0000	0.01424
731.0000	0.01458
730.0000	0.01486
729.0000	0.01517
728.0000	0.0155
727.0000	0.0159
726.0000	0.01629
725.0000	0.01674
724.0000	0.01722
723.0000	0.01773
722.0000	0.01831
721.0000	0.01901
720.0000	0.01975
719.0000	0.02058
718.0000	0.02148
717.0000	0.0225
716.0000	0.02363
715.0000	0.02491
714.0000	0.0263
713.0000	0.02783
712.0000	0.02952
711.0000	0.03137
710.0000	0.03346
709.0000	0.03574
708.0000	0.03837
707.0000	0.04127
706.0000	0.04452
705.0000	0.04819
704.0000	0.0523
703.0000	0.05698
702.0000	0.06216
701.0000	0.06792
700.0000	0.07434
699.0000	0.08158
698.0000	0.08958
697.0000	0.09853
696.0000	0.10844
695.0000	0.11945
694.0000	0.13163
693.0000	0.14506
692.0000	0.15989
691.0000	0.17625
690.0000	0.19417
689.0000	0.21372
688.0000	0.23497
687.0000	0.25802
686.0000	0.2829
685.0000	0.30957
684.0000	0.33792
683.0000	0.36777
682.0000	0.39894
681.0000	0.43137
680.0000	0.46475
679.0000	0.49867
678.0000	0.53259
677.0000	0.56607
676.0000	0.59867
675.0000	0.62995
674.0000	0.65957
673.0000	0.68704
672.0000	0.71205
671.0000	0.73429
670.0000	0.75369
669.0000	0.77007
668.0000	0.78346
667.0000	0.7938
666.0000	0.80138
665.0000	0.80639
664.0000	0.8089
663.0000	0.80924
662.0000	0.80779
661.0000	0.80469
660.0000	0.80013
659.0000	0.79425
658.0000	0.78731
657.0000	0.77941
656.0000	0.77076
655.0000	0.76124
654.0000	0.75106
653.0000	0.74023
