TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:41:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00492
MAXY	0.29847
MINY	0.00421
XYDATA
652.0000	0.28266
651.0000	0.2792
650.0000	0.27547
649.0000	0.27149
648.0000	0.26726
647.0000	0.26282
646.0000	0.25826
645.0000	0.2537
644.0000	0.2491
643.0000	0.24455
642.0000	0.24001
641.0000	0.23551
640.0000	0.23107
639.0000	0.22674
638.0000	0.22258
637.0000	0.21863
636.0000	0.21482
635.0000	0.21112
634.0000	0.20754
633.0000	0.20423
632.0000	0.20108
631.0000	0.19811
630.0000	0.19528
629.0000	0.19267
628.0000	0.19027
627.0000	0.18808
626.0000	0.18604
625.0000	0.18414
624.0000	0.18243
623.0000	0.18081
622.0000	0.17934
621.0000	0.17799
620.0000	0.17668
619.0000	0.17541
618.0000	0.17411
617.0000	0.17286
616.0000	0.17159
615.0000	0.17027
614.0000	0.16889
613.0000	0.16737
612.0000	0.16577
611.0000	0.164
610.0000	0.16212
609.0000	0.16006
608.0000	0.15794
607.0000	0.15561
606.0000	0.15318
605.0000	0.15055
604.0000	0.14784
603.0000	0.14493
602.0000	0.14198
601.0000	0.13892
600.0000	0.1358
599.0000	0.13269
598.0000	0.12953
597.0000	0.12639
596.0000	0.12321
595.0000	0.12006
594.0000	0.11689
593.0000	0.1138
592.0000	0.11065
591.0000	0.1076
590.0000	0.10456
589.0000	0.10159
588.0000	0.09868
587.0000	0.09588
586.0000	0.09316
585.0000	0.09056
584.0000	0.08809
583.0000	0.08563
582.0000	0.0832
581.0000	0.08082
580.0000	0.07853
579.0000	0.0764
578.0000	0.07435
577.0000	0.07245
576.0000	0.07055
575.0000	0.06873
574.0000	0.067
573.0000	0.06527
572.0000	0.06368
571.0000	0.06212
570.0000	0.06066
569.0000	0.05921
568.0000	0.05786
567.0000	0.05656
566.0000	0.05531
565.0000	0.05405
564.0000	0.05282
563.0000	0.05164
562.0000	0.05051
561.0000	0.04935
560.0000	0.04824
559.0000	0.04718
558.0000	0.04617
557.0000	0.04513
556.0000	0.04414
555.0000	0.04321
554.0000	0.04234
553.0000	0.04147
552.0000	0.04057
551.0000	0.03971
550.0000	0.03884
549.0000	0.03806
548.0000	0.03725
547.0000	0.03656
546.0000	0.03587
545.0000	0.03524
544.0000	0.03458
543.0000	0.03391
542.0000	0.0333
541.0000	0.03278
540.0000	0.03226
539.0000	0.03177
