TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:17:28
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00708
MAXY	0.84072
MINY	0.00707
XYDATA
652.0000	0.75057
651.0000	0.73782
650.0000	0.7247
649.0000	0.71115
648.0000	0.69731
647.0000	0.68326
646.0000	0.66905
645.0000	0.6549
644.0000	0.64081
643.0000	0.62703
642.0000	0.61361
641.0000	0.60063
640.0000	0.58808
639.0000	0.5761
638.0000	0.56463
637.0000	0.55386
636.0000	0.54366
635.0000	0.53419
634.0000	0.52534
633.0000	0.51723
632.0000	0.50977
631.0000	0.50304
630.0000	0.49688
629.0000	0.49143
628.0000	0.48654
627.0000	0.48229
626.0000	0.47857
625.0000	0.47548
624.0000	0.47288
623.0000	0.47057
622.0000	0.46864
621.0000	0.46695
620.0000	0.46548
619.0000	0.46397
618.0000	0.46241
617.0000	0.46076
616.0000	0.45894
615.0000	0.45688
614.0000	0.45438
613.0000	0.45148
612.0000	0.44807
611.0000	0.44403
610.0000	0.43935
609.0000	0.43406
608.0000	0.42816
607.0000	0.42168
606.0000	0.41457
605.0000	0.40694
604.0000	0.3988
603.0000	0.39018
602.0000	0.38125
601.0000	0.37202
600.0000	0.3626
599.0000	0.35303
598.0000	0.34337
597.0000	0.33374
596.0000	0.32413
595.0000	0.31455
594.0000	0.30503
593.0000	0.29571
592.0000	0.28656
591.0000	0.27766
590.0000	0.26889
589.0000	0.26035
588.0000	0.25209
587.0000	0.24411
586.0000	0.2364
585.0000	0.22896
584.0000	0.22186
583.0000	0.21496
582.0000	0.20833
581.0000	0.20198
580.0000	0.19592
579.0000	0.19013
578.0000	0.18459
577.0000	0.17928
576.0000	0.17425
575.0000	0.16944
574.0000	0.16487
573.0000	0.16046
572.0000	0.15622
571.0000	0.15216
570.0000	0.14831
569.0000	0.14458
568.0000	0.14098
567.0000	0.13743
566.0000	0.13404
565.0000	0.13076
564.0000	0.12759
563.0000	0.12447
562.0000	0.1214
561.0000	0.11835
560.0000	0.11537
559.0000	0.11245
558.0000	0.10962
557.0000	0.10686
556.0000	0.10416
555.0000	0.10149
554.0000	0.09886
553.0000	0.0963
552.0000	0.09374
551.0000	0.09126
550.0000	0.08884
549.0000	0.08658
548.0000	0.08444
547.0000	0.08241
546.0000	0.08039
545.0000	0.07841
544.0000	0.07658
543.0000	0.07483
542.0000	0.07313
541.0000	0.07153
540.0000	0.06998
