TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:55:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00632
MAXY	0.27380
MINY	0.00559
XYDATA
652.0000	0.26141
651.0000	0.25838
650.0000	0.25508
649.0000	0.25157
648.0000	0.24782
647.0000	0.24386
646.0000	0.23981
645.0000	0.23572
644.0000	0.2316
643.0000	0.2274
642.0000	0.22327
641.0000	0.21914
640.0000	0.21517
639.0000	0.21119
638.0000	0.2073
637.0000	0.20365
636.0000	0.20009
635.0000	0.1967
634.0000	0.1934
633.0000	0.19033
632.0000	0.18732
631.0000	0.18453
630.0000	0.18184
629.0000	0.17941
628.0000	0.17716
627.0000	0.17506
626.0000	0.17306
625.0000	0.17119
624.0000	0.16947
623.0000	0.16789
622.0000	0.16644
621.0000	0.16513
620.0000	0.16384
619.0000	0.16259
618.0000	0.16132
617.0000	0.16007
616.0000	0.15885
615.0000	0.1576
614.0000	0.15628
613.0000	0.15482
612.0000	0.15329
611.0000	0.15162
610.0000	0.14985
609.0000	0.14794
608.0000	0.14595
607.0000	0.14382
606.0000	0.14157
605.0000	0.13913
604.0000	0.13667
603.0000	0.13408
602.0000	0.1314
601.0000	0.1286
600.0000	0.12581
599.0000	0.12294
598.0000	0.12008
597.0000	0.1172
596.0000	0.11435
595.0000	0.11145
594.0000	0.10854
593.0000	0.10575
592.0000	0.10294
591.0000	0.10013
590.0000	0.09731
589.0000	0.0946
588.0000	0.09197
587.0000	0.08945
586.0000	0.08691
585.0000	0.08451
584.0000	0.08218
583.0000	0.0799
582.0000	0.07772
581.0000	0.07556
580.0000	0.07349
579.0000	0.07151
578.0000	0.06966
577.0000	0.06791
576.0000	0.06622
575.0000	0.0645
574.0000	0.06293
573.0000	0.0613
572.0000	0.05985
571.0000	0.05842
570.0000	0.05711
569.0000	0.05579
568.0000	0.05456
567.0000	0.05342
566.0000	0.05232
565.0000	0.05118
564.0000	0.05007
563.0000	0.04901
562.0000	0.04805
561.0000	0.04708
560.0000	0.0461
559.0000	0.04519
558.0000	0.0443
557.0000	0.04347
556.0000	0.04265
555.0000	0.04194
554.0000	0.04122
553.0000	0.04054
552.0000	0.03981
551.0000	0.03914
550.0000	0.03847
549.0000	0.03793
548.0000	0.0374
547.0000	0.037
546.0000	0.03656
545.0000	0.03614
544.0000	0.03569
543.0000	0.03535
542.0000	0.03495
541.0000	0.03472
540.0000	0.03443
